sample_id,image_path,vehicle_id,view,device_id,source_batch,pair_id,width_actual,height_actual,aspect_ratio,r_mean,g_mean,b_mean,r_std,g_std,b_std,gray_mean,contrast,saturation,dark_ratio,bright_ratio,laplacian_variance,file_size_kb
front_c6a2a9f2,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c6a2a9f2-CR200J-B_06_FrontSide_front.jpg,CR200J-B_06_FrontSide,front,pipeline_1080,prepared_front,c6a2a9f2,1011,1080,0.9361111111111111,215.052781441184,215.23390757226068,215.5611514085797,69.71592063494622,69.26790958994138,68.64467575184356,215.2181769058871,69.02998694716338,9.528322709455251,1.0990218705352236e-05,0.7064237828332783,29.976055975988363,94.8212890625
front_c6b5a504,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c6b5a504-CRH2A_8-Side_Front_front.jpg,CRH2A_8-Side_Front,front,pipeline_1080,prepared_front,c6b5a504,1082,1080,1.0018518518518518,237.7668883069761,238.63987557335525,239.15999178476073,48.498125617491255,45.89289524929761,44.854597533325574,238.43941774491682,46.37452766183924,5.577521907304717,0.00014890121174779215,0.8520538098172109,57.09376155268022,62.0
front_c7401f30,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c7401f30-C400BF-K-0001-Side_Front_front.jpg,C400BF-K-0001-Side_Front,front,pipeline_1080,prepared_front,c7401f30,1094,1080,1.012962962962963,220.466290879545,220.31790574852732,221.1763855034193,66.9074045848166,67.1169265099562,65.5830066675486,220.4573794772835,66.78666804716947,5.974810413704381,0.0,0.7750956395152008,32.64253842507956,62.359375
front_c7488cdc,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c7488cdc-CRH3A-Side_Front_front.jpg,CRH3A-Side_Front,front,pipeline_1080,prepared_front,c7488cdc,1075,1080,0.9953703703703703,232.8230482342808,229.11568389319552,227.49897243755385,46.932254600283834,53.46526404719459,56.679394715933874,230.04876744186046,51.763610824049735,11.333339362618432,0.00017484926787252367,0.7607950043066322,71.4324857881137,88.3271484375
front_c74e3aab,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c74e3aab-CR450AF_07_FrontSide_front.jpg,CR450AF_07_FrontSide,front,pipeline_1080,prepared_front,c74e3aab,1239,1088,1.1387867647058822,220.9271968321227,222.80407290034657,224.01048936523762,72.88060619332519,68.98576305225136,67.03823114148163,222.38718220338984,69.74242434775175,7.929093671366852,0.0025644791815031096,0.8093264848312206,31.415512294174068,73.5537109375
front_c8b1a412,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c8b1a412-CR400BF_26_FrontSide_front.jpg,CR400BF_26_FrontSide,front,pipeline_1080,prepared_front,c8b1a412,1448,1088,1.3308823529411764,227.1061987122197,228.68427229748943,229.63604210675985,65.18468624109467,62.51589156818724,60.94454312033919,228.31435093028924,63.08591568225747,6.720032194507637,0.005307142712057199,0.817861096441339,73.79398041834405,84.09765625
front_c9b4ea66,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c9b4ea66-CRH2J_front_side.009_front.jpeg,CRH2J_front_side.009,front,pipeline_1080,prepared_front,c9b4ea66,1286,1080,1.1907407407407407,224.37193638039284,224.49773486550313,223.90155592995796,59.197493119494574,58.95273500496446,59.94206581041625,224.39262355279072,59.13643671585663,2.439551293128276,0.0003456022118541559,0.7149796958700536,18.3797793905881,79.6083984375
front_c9c00fa3,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c9c00fa3-CR400BF-A-Side_Front_front.jpg,CR400BF-A-Side_Front,front,pipeline_1080,prepared_front,c9c00fa3,1000,1080,0.9259259259259259,223.24869444444445,221.0758537037037,219.7177509259259,56.959499850860226,60.55716956020715,64.03113348125994,221.57600833333333,59.711146289882755,9.476633333333334,8.61111111111111e-05,0.6893111111111111,35.98494629629629,79.4541015625
front_caf4bb10,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\caf4bb10-CRH0307-0001-04-FrontSide_front.jpeg,CRH0307-0001-04-FrontSide,front,pipeline_1080,prepared_front,caf4bb10,1087,1080,1.0064814814814815,195.01658318852432,195.89672390882143,197.15910933933014,79.29353043638069,77.51516442618714,75.94488947854084,195.80498654127908,77.72459242663895,11.146606357967903,0.0,0.6253458380183311,19.664976660192853,91.662109375
front_cafe0864,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\cafe0864-CRH380AJ-0201-Side_Front_front.jpg,CRH380AJ-0201-Side_Front,front,pipeline_1080,prepared_front,cafe0864,1123,1080,1.0398148148148147,228.34894380132582,225.69596154480394,223.4542610731836,56.83548463901312,60.24916197113993,65.60104090037595,226.23736519244088,59.51854278871083,11.616505887009003,0.0002910524059232875,0.7648840737442697,22.716933808251706,76.744140625
front_cb071342,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\cb071342-CRH380CL_05-Side_Front_front.jpg,CRH380CL_05-Side_Front,front,pipeline_1080,prepared_front,cb071342,1207,1080,1.1175925925925927,210.3009650495566,213.46092853416798,216.48544370799962,84.31025247847981,78.0483435078122,73.09452220353567,212.86465985455214,79.17526494269558,23.548424314952896,0.00023013900395839088,0.7662017858786707,27.689378317837306,75.0830078125
front_cbb298cd,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\cbb298cd-DDJ2_09_Front_Side_front.jpg,DDJ2_09_Front_Side,front,pipeline_1080,prepared_front,cbb298cd,1117,1080,1.0342592592592592,213.31650585231606,230.36722703007393,233.29150419443616,82.55740407454489,51.068556370168174,47.72916638531649,225.60542043834346,56.68470480451453,27.377474385755495,0.0,0.7958669054013727,24.869662421173704,84.345703125
